question,answer
how many people are affected by familial osteochondritis dissecans ?,the prevalence of familial osteochondritis dissecans is unknown but sporadic osteochondritis dissecans which is more common affects the knee in 15 to 29 per 100000 individuals
how many people are affected by familial paroxysmal kinesigenic dyskinesia ?,1 in 150000 individuals are affected by familial paroxysmal kinesigenic dyskinesia with a higher incidence among males
how many people are affected by familial paroxysmal nonkinesigenic dyskinesia ?,1 in 5 million people
how many people are affected by familial pityriasis rubra pilaris ?,the familial form of pityriasis rubra pilaris is the least common type and its incidence is unknown
how many people are affected by familial porencephaly ?,at least eight affected families have been described in the scientific literature
how many people are affected by familial restrictive cardiomyopathy ?,the prevalence of familial restrictive cardiomyopathy is unknown and it accounts for less than five percent of all cardiomyopathies in the united states and europe
how many people are affected by familial thoracic aortic aneurysm and dissection ?,familial thoracic aortic aneurysm and dissection is believed to affect at least 20% of cases with the remaining 80% caused by non-inherited factors
how many people are affected by fanconi anemia ?,1 in 160000 individuals worldwide are affected by fanconi anemia with a higher incidence among people of ashkenazi jewish descent the roma population of spain and black south africans
how many people are affected by farber lipogranulomatosis ?,about 80 cases have been reported worldwide
how many people are affected by fatty acid hydroxylaseassociated neurodegeneration ?,only a few dozen cases have been reported
how many people are affected by feingold syndrome ?,feingold syndrome appears to be a rare condition
how many people are affected by fg syndrome ?,several hundred cases have been reported worldwide
how many people are affected by fibrochondrogenesis ?,about 20 affected individuals have been described in the medical literature
how many people are affected by fibrodysplasia ossificans progressiva ?,approximately 1 in 2 million people worldwide
how many people are affected by fibronectin glomerulopathy ?,at least 45 cases have been described in the scientific literature
how many people are affected by fisheye disease ?,approximately 30 cases have been reported in the medical literature
how many people are affected by floatingharbor syndrome ?,about 50 cases have been reported in the medical literature
how many people are affected by focal dermal hypoplasia ?,focal dermal hypoplasia appears to be a rare condition
how many people are affected by foxg1 syndrome ?,at least 30 individuals have been described in the medical literature as affected by foxg1 syndrome
how many people are affected by fragile x syndrome ?,approximately 1 in 4000 males and 1 in 8000 females are affected by fragile x syndrome
how many people are affected by fragile xassociated primary ovarian insufficiency ?,about 1 in 200 females have the genetic change that leads to fxpoi and only about a quarter of them develop the condition
how many people are affected by fragile xassociated tremorataxia syndrome ?,approximately 1 in 450 males and 1 in 200 females have the genetic change that leads to fxtas but only about 40% of males and 16% of females develop symptoms
how many people are affected by fragile xe syndrome ?,1 in 25000 to 100000 newborn males are affected by fragile xe syndrome with a small number of affected females also reported
how many people are affected by fraser syndrome ?,fraser syndrome affects approximately 1 in 200000 newborns and 1 in 10000 fetuses that do not survive to birth
how many people are affected by frasier syndrome ?,approximately 50 cases have been described in the scientific literature
how many people are affected by freemansheldon syndrome ?,a rare disorder its exact prevalence is unknown
how many people are affected by friedreich ataxia ?,friedreich ataxia is estimated to affect 1 in 40000 people primarily found in those with european middle eastern or north african ancestry
how many people are affected by frontometaphyseal dysplasia ?,only a few dozen cases have been reported worldwide
how many people are affected by frontonasal dysplasia ?,at least 100 cases have been reported in the scientific literature
how many people are affected by frontotemporal dementia with parkinsonism17 ?,1 in 1 million people in the netherlands are affected by ftd-p17 although it may be underdiagnosed and more common than this
how many people are affected by fryns syndrome ?,more than 50 affected individuals have been reported in the medical literature
how many people are affected by fuchs endothelial dystrophy ?,approximately 4 percent of people over the age of 40 are affected by the late-onset form of fuchs endothelial dystrophy with women being affected somewhat more frequently than men
how many people are affected by fucosidosis ?,approximately 100 cases of fucosidosis have been reported worldwide with a higher prevalence in italy cuba and the southwestern united states
how many people are affected by fukuyama congenital muscular dystrophy ?,fukuyama congenital muscular dystrophy is seen almost exclusively in japan with an estimated incidence of 2 to 4 per 100000 japanese infants
how many people are affected by fumarase deficiency ?,approximately 100 affected individuals have been reported worldwide
how many people are affected by galactosemia ?,classic galactosemia occurs in 1 in 30000 to 60000 newborns while type ii and iii are less common with type ii affecting fewer than 1 in 100000 newborns and type iii being very rare
how many people are affected by galactosialidosis ?,more than 100 cases of galactosialidosis have been reported with approximately 60 percent of those affected having the juvenile/adult form
how many people are affected by gastrointestinal stromal tumor ?,approximately 5000 new cases of gastrointestinal stromal tumor are diagnosed in the united states each year
how many people are affected by gaucher disease ?,gaucher disease occurs in 1 in 50000 to 100000 people in the general population type 1 is the most common form affecting 1 in 500 to 1000 people of ashkenazi jewish heritage
how many people are affected by geleophysic dysplasia ?,more than 30 people have been reported to be affected by geleophysic dysplasia
how many people are affected by generalized arterial calcification of infancy ?,about 1 in 391000 people are affected by generalized arterial calcification of infancy
how many people are affected by genitopatellar syndrome ?,fewer than 1 per million people
how many people are affected by ghosal hematodiaphyseal dysplasia ?,only a few cases of ghosal hematodiaphyseal dysplasia have been reported mostly affecting individuals from the middle east and india
how many people are affected by giant axonal neuropathy ?,a very rare disorder
how many people are affected by giant congenital melanocytic nevus ?,approximately 1 in 20000 newborns worldwide are affected by giant congenital melanocytic nevus
how many people are affected by gilbert syndrome ?,3 to 7 percent of americans are affected by gilbert syndrome
how many people are affected by gillespie syndrome ?,only a few dozen affected individuals have been described in the medical literature
how many people are affected by gitelman syndrome ?,1 in 40000 people worldwide
how many people are affected by glanzmann thrombasthenia ?,glanzmann thrombasthenia is estimated to affect 1 in one million individuals worldwide
how many people are affected by globozoospermia ?,1 in 65000 men are affected by globozoospermia
how many people are affected by glucose phosphate isomerase deficiency ?,about 50 cases have been described in the medical literature
how many people are affected by glucose6phosphate dehydrogenase deficiency ?,an estimated 400 million people worldwide have glucose-6-phosphate dehydrogenase deficiency with a high frequency in certain parts of africa asia and the mediterranean and affecting about 1 in 10 african american males in the united states
how many people are affected by glucosegalactose malabsorption ?,only a few hundred cases of glucose-galactose malabsorption have been identified worldwide
how many people are affected by glut1 deficiency syndrome ?,approximately 500 cases have been reported worldwide since 1991 and the prevalence in australia is estimated at 1 in 90000 people
how many people are affected by glutamate formiminotransferase deficiency ?,approximately 20 individuals are affected by glutamate formiminotransferase deficiency with about one-quarter having the severe form all of whom are of japanese origin and the remaining individuals having the mild form from various ethnic backgrounds
how many people are affected by glutaric acidemia type i ?,glutaric acidemia type i occurs in approximately 1 in 30000 to 40000 individuals although it is more common in the amish community and ojibwa population of canada where up to 1 in 300 newborns may be affected
how many people are affected by glutaric acidemia type ii ?,glutaric acidemia type ii is a very rare disorder its precise incidence is unknown
how many people are affected by glutathione synthetase deficiency ?,more than 70 people worldwide
how many people are affected by glycine encephalopathy ?,about 1 in 55000 newborns in finland and 1 in 63000 newborns in british columbia canada are affected by glycine encephalopathy
how many people are affected by glycogen storage disease type 0 ?,fewer than 10 people with the muscle type and fewer than 30 people with the liver type have been described in the scientific literature
how many people are affected by glycogen storage disease type i ?,1 in 100000 individuals are affected by glycogen storage disease type i
how many people are affected by glycogen storage disease type iii ?,1 in 100000 individuals are affected by glycogen storage disease type iii in the united states while in people of north african jewish ancestry 1 in 5400 individuals are estimated to be affected
how many people are affected by glycogen storage disease type iv ?,1 in 600000 to 800000 individuals worldwide are affected by glycogen storage disease type iv
how many people are affected by glycogen storage disease type ix ?,glycogen storage disease type ix affects approximately 1 in 100000 people with the liver being the most commonly affected organ
how many people are affected by glycogen storage disease type v ?,1 in 100000 individuals are affected by glycogen storage disease type v
how many people are affected by glycogen storage disease type vi ?,at least 11 cases have been reported in the medical literature although it is likely to be underdiagnosed
how many people are affected by glycogen storage disease type vii ?,more than 100 cases have been described in the scientific literature
how many people are affected by gm1 gangliosidosis ?,1 in 100000 to 200000 newborns are affected by gm1 gangliosidosis with type i being more common
how many people are affected by gm2gangliosidosis ab variant ?,only a few cases have been reported worldwide
how many people are affected by gm3 synthase deficiency ?,about 50 cases of gm3 synthase deficiency have been reported mostly from old order amish communities
how many people are affected by gnathodiaphyseal dysplasia ?,the prevalence of gnathodiaphyseal dysplasia is unknown but it is thought to be a rare disorder
how many people are affected by gorlin syndrome ?,an estimated 1 in 31000 people are affected by gorlin syndrome
how many people are affected by gracile syndrome ?,gracile syndrome is found almost exclusively in finland affecting 1 in 47000 infants
how many people are affected by granulomatosis with polyangiitis ?,3 in 100000 people in the united states
how many people are affected by graves disease ?,graves disease affects about 1 in 200 people with a higher incidence in women than men
how many people are affected by gray platelet syndrome ?,about 60 cases have been reported worldwide
how many people are affected by greenberg dysplasia ?,approximately ten cases have been reported in the scientific literature
how many people are affected by greig cephalopolysyndactyly syndrome ?,the prevalence of greig cephalopolysyndactyly syndrome is unknown making it a very rare condition
how many people are affected by griscelli syndrome ?,griscelli syndrome is a rare condition and its prevalence is unknown
how many people are affected by grnrelated frontotemporal dementia ?,grn-related frontotemporal dementia affects an estimated 3 to 15 per 100000 people aged 45 to 64 accounting for 5 to 10 percent of all cases of frontotemporal dementia
how many people are affected by guanidinoacetate methyltransferase deficiency ?,about 80 individuals have been described in the medical literature as being affected by guanidinoacetate methyltransferase deficiency
how many people are affected by guillainbarr syndrome ?,6 to 40 cases per 1 million people are affected by guillain-barr syndrome
how many people are affected by gyrate atrophy of the choroid and retina ?,more than 150 individuals have been identified with gyrate atrophy with approximately one third being from finland
how many people are affected by hajducheney syndrome ?,fewer than 100 affected individuals have been described in the medical literature
how many people are affected by handfootgenital syndrome ?,only a few families with the condition have been reported worldwide
how many people are affected by harlequin ichthyosis ?,harlequin ichthyosis is very rare
how many people are affected by hashimoto thyroiditis ?,hashimoto thyroiditis affects 1-2% of people in the united states occurring more often in women than men possibly due to hormonal factors
how many people are affected by head and neck squamous cell carcinoma ?,approximately 600000 new cases of head and neck squamous cell carcinoma are diagnosed each year with about 50000 cases in the united states
how many people are affected by hearing loss ?,approximately 36 million american adults or 17 percent have some degree of hearing loss with one-third of those 65-74 years old and 47 percent of those 75 and older affected
how many people are affected by heart attack ?,more than 1 million people in the us have a heart attack each year and about half of them die with about half of those deaths occurring within 1 hour of the start of symptoms
how many people are affected by heart failure ?,approximately 5 million people in the united states have heart failure
how many people are affected by hemophilia ?,1 in 4000 to 1 in 5000 males worldwide are born with hemophilia a while 1 in 20000 newborn males worldwide are born with hemophilia b
how many people are affected by hemorrhoids ?,about 75 percent of people will have hemorrhoids at some point in their lives with the condition being most common among adults ages 45 to 65 and also common in pregnant women
how many people are affected by hennekam syndrome ?,at least 50 cases of hennekam syndrome have been reported worldwide
how many people are affected by hepatic lipase deficiency ?,only a few affected families have been reported in the scientific literature
how many people are affected by hepatic venoocclusive disease with immunodeficiency ?,approximately 20 affected families have been reported worldwide with most being of lebanese ancestry
how many people are affected by hereditary angioedema ?,hereditary angioedema is estimated to affect 1 in 50000 people with type i being the most common accounting for 85 percent of cases
how many people are affected by hereditary angiopathy with nephropathy aneurysms and muscle cramps syndrome ?,at least six families have been described in the scientific literature as being affected by hanac syndrome
how many people are affected by hereditary antithrombin deficiency ?,about 1 in 2000 to 3000 individuals are estimated to have hereditary antithrombin deficiency
how many people are affected by hereditary cerebral amyloid angiopathy ?,over 200 individuals are affected by the dutch type of hereditary cerebral amyloid angiopathy
how many people are affected by hereditary diffuse gastric cancer ?,less than 1 percent of gastric cancer cases are due to hereditary diffuse gastric cancer
how many people are affected by hereditary folate malabsorption ?,approximately 15 affected families have been reported worldwide and some infants with this disorder may not get diagnosed or treated particularly in areas where advanced medical care is not available
how many people are affected by hereditary fructose intolerance ?,1 in 20000 to 30000 individuals each year worldwide
how many people are affected by hereditary hemochromatosis ?,about 1 million people in the united states are affected by type 1 hemochromatosis with people of northern european descent being most often affected
how many people are affected by hereditary hemorrhagic telangiectasia ?,it is believed to affect between 1 in 5000 and 1 in 10000 people
how many people are affected by hereditary hyperekplexia ?,more than 70 families worldwide have been identified with hereditary hyperekplexia
how many people are affected by hereditary hypophosphatemic rickets ?,about 1 in 20000 newborns are affected by x-linked hypophosphatemic rickets the most common form of hereditary hypophosphatemic rickets
how many people are affected by hereditary leiomyomatosis and renal cell cancer ?,approximately 100 families worldwide have been reported to be affected by hereditary leiomyomatosis and renal cell cancer hlrcc
how many people are affected by hereditary multiple osteochondromas ?,1 in 50000 individuals are affected by hereditary multiple osteochondromas with higher frequencies in some isolated populations such as 1 in 1000 in the chamorro population of guam and 1 in 77 in the ojibway indian population of manitoba canada
how many people are affected by hereditary myopathy with early respiratory failure ?,it has been reported in several families of swedish and french descent and in at least one individual from italy
how many people are affected by hereditary neuralgic amyotrophy ?,approximately 200 families worldwide have been identified as affected by hereditary neuralgic amyotrophy
how many people are affected by hereditary neuropathy with liability to pressure palsies ?,2 to 5 per 100000 individuals
how many people are affected by hereditary pancreatitis ?,3 to 6 per million individuals in europe are estimated to be affected by hereditary pancreatitis
how many people are affected by hereditary paragangliomapheochromocytoma ?,approximately 1 in 1 million people are affected by hereditary paragangliomapheochromocytoma
how many people are affected by hereditary sensory and autonomic neuropathy type ie ?,hsan ie is a rare disorder with small numbers of affected families identified worldwide
how many people are affected by hereditary sensory and autonomic neuropathy type ii ?,the prevalence of hereditary sensory and autonomic neuropathy type ii hsan2 is unknown making it a rare disease
how many people are affected by hereditary sensory and autonomic neuropathy type v ?,only a few people with the condition have been identified
how many people are affected by hereditary sensory neuropathy type ia ?,1 to 2 per 100000 individuals
how many people are affected by hereditary spherocytosis ?,1 in 2000 individuals of northern european ancestry are affected by hereditary spherocytosis
how many people are affected by hereditary xanthinuria ?,the combined incidence of hereditary xanthinuria types i and ii is about 1 in 69000 people worldwide with a suspected higher true incidence due to undiagnosed cases
how many people are affected by hermanskypudlak syndrome ?,1 in 500000 to 1000000 individuals worldwide are affected by hermansky-pudlak syndrome with higher frequencies in certain regions such as puerto rico particularly in the northwestern part of the island
how many people are affected by heterotaxy syndrome ?,1 in 10000 people worldwide are affected by heterotaxy syndrome although it may be underdiagnosed and more common it accounts for approximately 3% of all congenital heart defects and is more common in asian populations
how many people are affected by hidradenitis suppurativa ?,at least 1 in 100 people are affected by hidradenitis suppurativa with women being about twice as likely as men to develop the condition
how many people are affected by hirschsprung disease ?,1 in 5000 newborns
how many people are affected by histidinemia ?,estimates of the incidence of histidinemia vary widely ranging between 1 in 8600 to 1 in 90000 people
how many people are affected by histiocytosislymphadenopathy plus syndrome ?,approximately 100 individuals worldwide
how many people are affected by holocarboxylase synthetase deficiency ?,1 in 87000 people
how many people are affected by holtoram syndrome ?,1 in 100000 individuals
how many people are affected by homocystinuria ?,at least 1 in 200000 to 335000 people worldwide are affected by the most common form of homocystinuria
how many people are affected by horizontal gaze palsy with progressive scoliosis ?,several dozen families worldwide
how many people are affected by horner syndrome ?,about 1 in 6250 babies are born with horner syndrome
how many people are affected by huntington disease ?,huntington disease affects an estimated 3 to 7 per 100000 people of european ancestry
how many people are affected by huntington diseaselike syndrome ?,hdl syndromes are rare affecting an estimated 4-10 people per 100000 of european ancestry of the four described syndromes hdl4 is the most common while hdl2 is most common in people of african heritage particularly black south africans
how many people are affected by hutchinsongilford progeria syndrome ?,1 in 4 million newborns worldwide are affected by hutchinsongilford progeria syndrome
how many people are affected by hypercholesterolemia ?,more than 34 million american adults have elevated blood cholesterol levels while inherited forms of hypercholesterolemia which cause even higher levels occur less frequently affecting about 1 in 500 people in most countries
how many people are affected by hyperferritinemiacataract syndrome ?,1 in 200000 individuals
how many people are affected by hyperkalemic periodic paralysis ?,1 in 200000 people
how many people are affected by hyperlysinemia ?,the incidence of hyperlysinemia is unknown
how many people are affected by hypermanganesemia with dystonia polycythemia and cirrhosis ?,the prevalence of hmdpc is unknown with only a small number of cases described in the scientific literature
how many people are affected by hypermethioninemia ?,primary hypermethioninemia not caused by other disorders or excess methionine intake appears to be rare with only a small number of cases reported
how many people are affected by hyperparathyroidismjaw tumor syndrome ?,approximately 200 cases have been reported in the medical literature
how many people are affected by hyperphosphatemic familial tumoral calcinosis ?,the prevalence of hyperphosphatemic familial tumoral calcinosis is unknown but it is thought to be a rare condition that occurs most often in middle eastern and african populations
how many people are affected by hyperprolinemia ?,it is difficult to determine the prevalence of hyperprolinemia type i because most people with the condition do not have any symptoms
how many people are affected by hypochondrogenesis ?,1 in 40000 to 60000 newborns
how many people are affected by hypochondroplasia ?,more than 200 people worldwide have been diagnosed with hypochondroplasia
how many people are affected by hypochromic microcytic anemia with iron overload ?,at least five families have been reported with hypochromic microcytic anemia with iron overload
how many people are affected by hypohidrotic ectodermal dysplasia ?,at least 1 in 17000 people worldwide
how many people are affected by hypokalemic periodic paralysis ?,hypokalemic periodic paralysis is estimated to affect 1 in 100000 people with men experiencing symptoms more often than women
how many people are affected by hypomagnesemia with secondary hypocalcemia ?,thought to be a rare condition
how many people are affected by hypomyelination and congenital cataract ?,the prevalence of hypomyelination and congenital cataract is unknown
how many people are affected by hypophosphatasia ?,severe forms of hypophosphatasia affect 1 in 100000 newborns while milder cases may occur more frequently particularly in white populations
how many people are affected by hystrixlike ichthyosis with deafness ?,the prevalence of hystrixlike ichthyosis with deafness is unknown making it a rare disorder
how many people are affected by ichthyosis with confetti ?,fewer than 20 affected individuals have been described in the medical literature
how many people are affected by idiopathic inflammatory myopathy ?,approximately 2 to 8 cases per million people each year are affected by idiopathic inflammatory myopathy with polymyositis and dermatomyositis being about twice as common in women as in men and sporadic inclusion body myositis being more common in men
how many people are affected by idiopathic pulmonary fibrosis ?,13 to 20 per 100000 people worldwide are affected with approximately 100000 people affected in the united states and 30000 to 40000 new cases diagnosed each year
how many people are affected by iga nephropathy ?,iga nephropathy can occur at any age but typically appears in teens to late 30s it is more common in men particularly asians and caucasians
how many people are affected by imerslundgrsbeck syndrome ?,1 in 200000 people in finland and norway are affected by imerslund-grsbeck syndrome
how many people are affected by immune dysregulation polyendocrinopathy enteropathy xlinked syndrome ?,the prevalence of ipex syndrome is unknown
how many people are affected by inclusion body myopathy 2 ?,more than 200 people with inclusion body myopathy 2 have been reported with most being of iranian jewish descent and an estimated 1 in 1500 people affected in this population
how many people are affected by inclusion body myopathy with earlyonset paget disease and frontotemporal dementia ?,the condition ibmpfd is rare and has been identified in about 26 families
how many people are affected by incontinentia pigmenti ?,between 900 and 1200 affected individuals have been reported with most being female
how many people are affected by infantile neuroaxonal dystrophy ?,infantile neuroaxonal dystrophy is a very rare disorder with an unknown specific incidence
how many people are affected by infantile neuronal ceroid lipofuscinosis ?,collectively all forms of ncl affect an estimated 1 in 100000 individuals worldwide with a higher incidence in finland where approximately 1 in 12500 individuals are affected
how many people are affected by infantile systemic hyalinosis ?,fewer than 20 people have been reported to have infantile systemic hyalinosis
how many people are affected by infantileonset ascending hereditary spastic paralysis ?,at least 30 cases have been reported in the scientific literature
how many people are affected by infantileonset spinocerebellar ataxia ?,more than 20 individuals with infantile-onset spinocerebellar ataxia have been identified in finland with a few similar cases reported in europe
how many people are affected by inherited thyroxinebinding globulin deficiency ?,about 1 in 15000 newborns worldwide are affected by the complete form of inherited thyroxine-binding globulin deficiency while about 1 in 4000 newborns are affected by the partial form
how many people are affected by intestinal pseudoobstruction ?,the prevalence of primary intestinal pseudo-obstruction is unknown while secondary intestinal pseudo-obstruction is believed to be more common
how many people are affected by intrahepatic cholestasis of pregnancy ?,1 percent of women of northern european ancestry are affected by intrahepatic cholestasis of pregnancy
how many people are affected by intranuclear rod myopathy ?,a rare disorder that has been identified in only a small number of individuals
how many people are affected by intrauterine growth restriction metaphyseal dysplasia adrenal hypoplasia congenita and genital anomalies ?,about 20 cases of this syndrome have been reported in the medical literature with a higher incidence in males due to the absence of associated genital abnormalities in females
how many people are affected by irak4 deficiency ?,at least 49 individuals have been described in the scientific literature as having irak-4 deficiency
how many people are affected by ironrefractory iron deficiency anemia ?,at least 50 cases have been described in the medical literature and researchers suspect that iron-refractory iron deficiency anemia is underdiagnosed
how many people are affected by irritable bowel syndrome in children ?,10 to 20 percent of children experience recurrent abdominal pain although not all of these cases are necessarily ibs one study found that 14 percent of high school students and 6 percent of middle school students have ibs with equal prevalence in boys and girls
how many people are affected by isobutyrylcoa dehydrogenase deficiency ?,22 cases have been reported in the medical literature
how many people are affected by isodicentric chromosome 15 syndrome ?,1 in 30000 newborns
how many people are affected by isolated duane retraction syndrome ?,isolated duane retraction syndrome affects an estimated 1 in 1000 people worldwide accounting for 1-5% of all cases of abnormal eye alignment
how many people are affected by isolated ectopia lentis ?,the prevalence of isolated ectopia lentis is unknown but in denmark an estimated 64 per 100000 individuals have ectopia lentis with about 75 percent of these cases being syndromic
how many people are affected by isolated growth hormone deficiency ?,1 in 4000 to 10000 individuals worldwide
how many people are affected by isolated lissencephaly sequence ?,1 in 100000 newborns
how many people are affected by isolated pierre robin sequence ?,1 in 8500 to 14000 people
how many people are affected by isovaleric acidemia ?,at least 1 in 250000 people
how many people are affected by jacksonweiss syndrome ?,the incidence of jackson-weiss syndrome is unknown making it difficult to determine the exact number of people affected
how many people are affected by jacobsen syndrome ?,more than 200 people are affected by jacobsen syndrome
how many people are affected by jervell and langenielsen syndrome ?,jervell and lange-nielsen syndrome affects an estimated 16 to 6 per 1 million people worldwide with a higher prevalence in denmark where it affects at least 1 in 200000 people
how many people are affected by joubert syndrome ?,joubert syndrome is estimated to affect between 1 in 80000 and 1 in 100000 newborns
how many people are affected by junctional epidermolysis bullosa ?,fewer than 1 per million people in the united states
how many people are affected by juvenile batten disease ?,collectively all forms of ncls affect an estimated 1 in 100000 individuals worldwide
how many people are affected by juvenile hyaline fibromatosis ?,about 70 people have been reported to be affected by juvenile hyaline fibromatosis
how many people are affected by juvenile idiopathic arthritis ?,4 to 16 in 10000 children are affected by juvenile idiopathic arthritis in north america and europe with approximately 294000 children in the united states affected
how many people are affected by juvenile myoclonic epilepsy ?,1 in 1000 people worldwide are affected by juvenile myoclonic epilepsy and 5 percent of people with epilepsy have this condition
how many people are affected by juvenile paget disease ?,about 50 individuals worldwide have been identified with juvenile paget disease
how many people are affected by juvenile polyposis syndrome ?,1 in 100000 individuals worldwide
how many people are affected by juvenile primary lateral sclerosis ?,a rare disorder with few reported cases
how many people are affected by juvenile primary osteoporosis ?,juvenile primary osteoporosis is uncommon in children and its prevalence is unknown
how many people are affected by kabuki syndrome ?,1 in 32000 newborns
how many people are affected by kallmann syndrome ?,kallmann syndrome is estimated to affect 1 in 10000 to 86000 people with a higher incidence in males than females
how many people are affected by kawasaki disease ?,approximately 1 in 10000 children under 5 are affected by kawasaki disease each year in the united states and other western countries while it is 10 to 20 times more common in east asia
how many people are affected by kbg syndrome ?,around 60 individuals have been reported to be affected by kbg syndrome with males being more commonly affected than females
how many people are affected by kearnssayre syndrome ?,1 to 3 per 100000 individuals
how many people are affected by keratitisichthyosisdeafness syndrome ?,approximately 100 cases have been reported
how many people are affected by keratoderma with woolly hair ?,up to 1 in 1000 people from the greek islands may be affected by type i naxos disease of keratoderma with woolly hair
how many people are affected by kidney dysplasia ?,about one in 4000 babies are affected by kidney dysplasia although this estimate may be low due to undiagnosed cases
how many people are affected by kleefstra syndrome ?,the prevalence of kleefstra syndrome is unknown
how many people are affected by klinefelter syndrome ?,klinefelter syndrome affects 1 in 500 to 1000 newborn males with rarer variants occurring in 1 in 50000 or fewer newborns
how many people are affected by klippelfeil syndrome ?,klippel-feil syndrome is estimated to occur in 1 in 40000 to 42000 newborns worldwide with females affected slightly more often than males
how many people are affected by klippeltrenaunay syndrome ?,at least 1 in 100000 people worldwide
how many people are affected by kniest dysplasia ?,kniest dysplasia is a rare condition
how many people are affected by knobloch syndrome ?,knobloch syndrome is a rare condition and the exact prevalence is unknown
how many people are affected by koolende vries syndrome ?,1 in 16000 people are affected by koolen-de vries syndrome
how many people are affected by krabbe disease ?,about 1 in 100000 individuals in the united states are affected by krabbe disease with a higher incidence reported in some isolated communities in israel
how many people are affected by kufs disease ?,1 in 100000 individuals worldwide are affected by ncls with kufs disease accounting for 13 to 10 percent of all ncls
how many people are affected by kuskokwim syndrome ?,a small number of people from the yupik eskimo population in southwest alaska
how many people are affected by l1 syndrome ?,1 in 25000 to 60000 males are affected by l1 syndrome with females being rarely affected
how many people are affected by lacrimoauriculodentodigital syndrome ?,at least 60 cases have been described in the scientific literature
how many people are affected by lactate dehydrogenase deficiency ?,1 in 1 million individuals in japan are affected by lactate dehydrogenase deficiency
how many people are affected by lactose intolerance ?,approximately 65 percent of the human population has a reduced ability to digest lactose after infancy with lactose intolerance being most prevalent in people of east asian descent affecting more than 90 percent of adults in some communities
how many people are affected by lafora progressive myoclonus epilepsy ?,the prevalence of lafora progressive myoclonus epilepsy is unknown but it appears to be most common in mediterranean countries parts of central asia india pakistan north africa and the middle east
how many people are affected by laing distal myopathy ?,although laing distal myopathy is thought to be rare its prevalence is unknown with several families with the condition identified worldwide
how many people are affected by lama2related muscular dystrophy ?,1 in 30000 individuals are affected by early-onset lama2-related muscular dystrophy accounting for 30-40% of total congenital muscular dystrophy cases
how many people are affected by lamellar ichthyosis ?,1 in 100000 individuals in the united states are affected by lamellar ichthyosis while it is more common in norway affecting 1 in 91000 individuals
how many people are affected by langer mesomelic dysplasia ?,several dozen affected individuals have been reported in the scientific literature
how many people are affected by langergiedion syndrome ?,the incidence of langer-giedion syndrome is unknown making it a rare condition
how many people are affected by langerhans cell histiocytosis ?,1 to 2 in 100000 people
how many people are affected by laron syndrome ?,about 350 people have been diagnosed with laron syndrome worldwide with the largest group of around 100 people living in southern ecuador
how many people are affected by larsen syndrome ?,1 in 100000 newborns
how many people are affected by laryngoonychocutaneous syndrome ?,the condition primarily affects families of punjabi background from india and pakistan with one reported case from iran
how many people are affected by lateinfantile neuronal ceroid lipofuscinosis ?,collectively all forms of ncl affect an estimated 1 in 100000 individuals worldwide with a higher prevalence in finland where approximately 1 in 12500 individuals are affected
how many people are affected by lattice corneal dystrophy type i ?,lattice corneal dystrophy type i is a rare condition and its prevalence is unknown
how many people are affected by lattice corneal dystrophy type ii ?,lattice corneal dystrophy type ii is a rare condition and its prevalence is unknown it is more common in finland where it was first described
how many people are affected by leber congenital amaurosis ?,2 to 3 per 100000 newborns
how many people are affected by leber hereditary optic neuropathy ?,1 in 30000 to 50000 people in northeast england and finland
how many people are affected by leggcalvperthes disease ?,1 to 3 in 20000 children under age 15 are affected by legg-calv-perthes disease in white populations
how many people are affected by legius syndrome ?,the prevalence of legius syndrome is unknown and many individuals with this disorder may be misdiagnosed due to similar signs and symptoms with neurofibromatosis type 1
how many people are affected by leigh syndrome ?,at least 1 in 40000 newborns are affected by leigh syndrome
how many people are affected by lennoxgastaut syndrome ?,lennox-gastaut syndrome affects an estimated 1 in 50000 to 1 in 100000 children accounting for about 4 percent of all cases of childhood epilepsy with a slight prevalence in males
how many people are affected by lenz microphthalmia syndrome ?,lenz microphthalmia syndrome is a very rare condition identified in only a few families worldwide
how many people are affected by leptin receptor deficiency ?,up to 3 percent of individuals with severe obesity and hyperphagia that begins in early childhood
how many people are affected by leschnyhan syndrome ?,approximately 1 in 380000 individuals are affected by lesch-nyhan syndrome
how many people are affected by leukocyte adhesion deficiency type 1 ?,1 per million people worldwide are affected by leukocyte adhesion deficiency type 1 with at least 300 reported cases in the scientific literature
how many people are affected by leukoencephalopathy with brainstem and spinal cord involvement and lactate elevation ?,lbsl is a rare condition
how many people are affected by leukoencephalopathy with vanishing white matter ?,the prevalence of leukoencephalopathy with vanishing white matter is unknown but it is believed to be a rare disorder
how many people are affected by leydig cell hypoplasia ?,leydig cell hypoplasia is a rare disorder
how many people are affected by liddle syndrome ?,liddle syndrome is a rare condition found in populations worldwide
how many people are affected by lifraumeni syndrome ?,about 400 people from 64 families have li-fraumeni syndrome
how many people are affected by limbgirdle muscular dystrophy ?,prevalence estimates of limb-girdle muscular dystrophy range from 1 in 14500 to 1 in 123000 individuals
how many people are affected by lissencephaly with cerebellar hypoplasia ?,the prevalence of lissencephaly with cerebellar hypoplasia lch is unknown making it a rare condition
how many people are affected by loeysdietz syndrome ?,the prevalence of loeys-dietz syndrome is unknown but types i and ii appear to be the most common forms
